Click to return to Instruction Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospital ID,Year,Hospital,street address,City,Zip Code,Health Service Area,Hospital Planning Area,County,Ownership Type,Ownership Detail,Specialized Hospital Characteristics,,Hospital Classification,,,,Administrator,,,,Date Received,Contact Person,,,,Hospital Operator,Physical Plant Owner,Management Contracts,,,Facility Comments,Agency Comments Displayed on Facility Profiles,Data Certification,,,Community Health Needs Assessment
,,,,,,,,,,,Critical Access Hospitals,Long-Term Acute Care Hospitals,General Hospital,Rehabilitation Hospital,Children's Specialty Hospital,Psychiatric Hospital,Name,Job Title,Telephone,E-mail Address,,Name,Job Title,Telephone,E-mail Address,,,Acute Mental Illness,Rehabilitation Services,Emergncy Medical Services,,,Person Certifying Data,Title,Date,
,211,Hospitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5728,2016,Abraham Lincoln Hospital,200 Stahlhut Drive,Lincoln,62656,3,E-01,Logan,Other Not For Profit (specify below),,Critical Access Hospital,,General Hospital,,,,Dolan Dalpoas,CEO,217-605-5001,dalpoas.dolan@mhsil.com,2/24/17,Monica Knauer,Accountant,217-605-5602,knauer.monica@mhsil.com,Abraham Lincoln Memorial Hospital,Abraham Lincoln Memorial Hospital,,,Midwest Emergency,,,Monica Knauer,Accountant,2/24/17,https://www.choosememorial.org/MHS-COMMUNITY-NEED-ASSESSMENT/DEFAULT
5496,2016,Adventist Bolingbrook Hospital,500 Remington Blvd,Bolingbrook,60440,9,A-13,Will,Church-Related,,,,General Hospital,,,,Bruce Christian,President & CEO,630-545-3901,Bruce.Christian@amitahealth.org,4/18/17,Jim Yaniz,Director Decision Support/Budget,847-483-7960,James.Yaniz@AmitaHealth.org,Adventist Bolingbrook Hospital,Adventist Bolingbrook Hospital,,,,,,Jim Yaniz,Director Decision Support/Budget,4/18/17,www.keepingyouwell.com/abh/about-us/community-benefit
3814,2016,Adventist GlenOaks Hospital,701 Winthrop Avenue,Glendale Heights,60139,7,A-05,DuPage,Church-Related,,,,General Hospital,,,,Bruce Christian,President & CEO,630-545-3901,Bruce.Christian@amitahealth.org,4/19/17,Jim Yaniz,Director Decision Support/Budget,847.483.7960,James.Yaniz@AmitaHealth.org,Adventist Glen Oaks Hospital,Adventist Glen Oaks Hospital,,,,,,Jim Yaniz,Director Decision Support/Budget,4/19/17,www.keepingyouwell.com/agh/about-us/community-benefit
0976,2016,Adventist Hinsdale Hospital,120 North Oak Street,Hinsdale,60521,7,A-05,DuPage,Church-Related,,,,General Hospital,,,,Mike Goebel,President & CEO,630-856-6005,Mike.Goebel@amitahealth.org,4/21/17,Jim Yaniz,Director Decision Support/Budget,847.483.7960,James.Yaniz@AmitaHealth.org,Adventist Hinsdale Hospital,Adventist Hinsdale Hospital,,,,,,James Yaniz,Director Decison Support/Budget,4/21/17,www.keepingyouwell.com/ahh/about-us/community-benefit
5967,2016,Adventist La Grange Memorial Hospital,5101 S. Willow Springs Road,La Grange,60525,7,A-04,Cook,Church-Related,,,,General Hospital,,,,Michael Goebel,CEO,630-856-6056,Mike.Goebel@amitahealth.org,4/20/17,Jim Yaniz,Director Decision Support/Budget,847-483-7960,James.Yaniz@AmitaHealth.org,Adventist Health System dba La Grange Memorial Hos,Adventist Health System dba La Grange Memorial Hos,,,,,,James Yaniz,Director Decision Support/Budget,4/19/17,http://www.keepingyouwell.com/almh/about-us/community-benefit
5645,2016,Advocate BroMenn Medical Center,1304 Franklin Avenue,Normal,61761,4,D-02,McLean,Church-Related,,,,General Hospital,,,,Colleen Kannaday,President,309-268-5180,colleen.kannaday@advocatehealth.com,3/20/17,Katherine Montague,Manager Finance,309-268-5277,katherine.montague@advocatehealth.com,Advocate BroMenn Medical Center,Advocate Health & Hospitals Corporation,,,,Charity Care data will be provided by early July.,,Katherine Montague,Manager Finance,3/20/17,http://www.advocatehealth.com/documents/CHNA/2016%20McLean%20County%20CHNA%2012.pdf
0315,2016,Advocate Christ Medical Center,4440 West 95th Street,Oak lawn,60453,7,A-04,Cook,Church-Related,,,,General Hospital,,,,Kenneth Lukhard,President,708-684-5010,kenneth.lukhard@advocatehealth.com,3/14/17,Dawn Nolan,Director of Finance,708-684-5399,dawn.nolan@advocatehealth.com,Advocate Health and Hospital Corporation,Advocate Health and Hospital Corporation,,,,Charity care information for 2016 will be provided as soon as it is available.    Patients in Medicare and Medicaid managed care are grouped in Medicare and Medicaid in this report.  The Inpatient Days reported in Question I section E now reflect days previously reported in Question IV section H.  The decrease in newborn Level I beds reported in Question IV section H is the result of a new post partum unit where the babies reside with the mothers.,,Kenneth Lukhard,President,3/14/17,http://www.advocatehealth.com/documents/CHNA/Christ%20CHNA%20Rpt%20Final.pdf
