agency,id,lat,lon,name
GIR,37742,44.864433,-0.525310,LORMONT - La Buttinière
GIR,36350,44.864178,-0.519440,Place des 2 Villes
GIR,36710,44.871693,-0.511850,Avenue de Paris
GIR,37717,44.878437,-0.510891,LORMONT - La Ramade
GIR,36997,44.881450,-0.510192,L'Archevêque
GIR,37720,44.887200,-0.507066,Avenue de Bordeaux
GIR,37708,44.891785,-0.502864,Foyer Municipal
GIR,37719,44.893898,-0.500689,Carbon Blanc Centre
GIR,37756,44.897350,-0.496916,Victor Hugo
GIR,37754,44.903120,-0.490058,STE EULALIE - Les Places
GIR,37751,44.906900,-0.486457,STE EULALIE - Centre Commercial
GIR,37761,44.919600,-0.480090,AMBARES - Le Poteau
GIR,37744,44.929276,-0.474217,La Grave d'Ambarès
GIR,37647,44.932293,-0.473614,Maréchal Foch
GIR,37681,44.939617,-0.472012,AMBARES - Surin
GIR,37655,44.943707,-0.469473,Blanchet
GIR,37688,44.950910,-0.467381,Clos Palu
GIR,37738,44.954445,-0.468260,Saint Vincent de Paul
GIR,37736,44.972153,-0.452984,CUBZAC - Bourg
GIR,37746,44.986336,-0.450150,ST ANDRE C. - Cimetière
GIR,37743,44.991550,-0.448074,ST ANDRE C. - Rue Ste Anne
GIR,37759,44.991196,-0.441491,ST ANDRE C. - Gare TER
GIR,37735,44.993440,-0.452080,ST ANDRE C. - Rue Cdt Cousteau
GIR,37737,44.998684,-0.459159,ST ANDRE C. - Chem. J. Fortin
GIR,37727,45.004140,-0.461067,ST ANDRE C. - Le Basque
GIR,37733,45.014324,-0.469298,ST GERVAIS - Voisi
GIR,37734,45.022938,-0.476782,ST GERVAIS - Port d'Espeau
GIR,37741,45.028150,-0.484211,PRIGNAC ET M. - Coubet
GIR,37739,45.032932,-0.492844,PRIGNAC ET M. - Mairie
GIR,37740,45.035576,-0.498891,PRIGNAC ET M. - Stade
GIR,37760,45.037150,-0.508100,TAURIAC - Le Pont du Moron
GIR,37763,45.038486,-0.519918,TAURIAC - La Lustre
GIR,37724,45.039920,-0.535980,BOURG - Le Ligat
GIR,37769,45.041280,-0.547357,BOURG - La Croix
GIR,37726,45.040604,-0.554823,BOURG - Maison du Vin
GIR,37771,45.040910,-0.557631,BOURG - Allées F. Daleau
GIR,37725,45.045815,-0.574659,BOURG - Camillac
GIR,37766,45.049095,-0.583569,ST SEURIN DE B. - Bourg
GIR,37722,45.051758,-0.592344,BAYON - Talbot
GIR,37723,45.055943,-0.599882,BAYON - La Croix de Millorit
GIR,37728,45.060482,-0.608130,GAURIAC - Le Breuil
GIR,37731,45.063800,-0.616583,GAURIAC - Bourg
GIR,37729,45.068913,-0.622752,GAURIAC - Camp Haut
GIR,37730,45.071983,-0.628126,GAURIAC - Maison Franche
GIR,37770,45.080254,-0.636176,VILLENEUVE - Roque de Thau
GIR,37768,45.090546,-0.639160,VILLENEUVE - Mendoce
GIR,37752,45.099194,-0.641085,PLASSAC - La Manderaude
GIR,37749,45.102463,-0.643748,PLASSAC - La Poste
GIR,37755,45.104610,-0.648100,PLASSAC - Les Ecoles
GIR,37748,45.123850,-0.644229,CARS - Sociondeau
GIR,37765,45.129154,-0.641171,BLAYE - Centre Commercial
GIR,37757,45.131790,-0.658477,BLAYE - Av. Haussman
GIR,37758,45.127200,-0.663199,BLAYE - Hôtel de Ville
GIR,37750,45.124798,-0.664519,BLAYE - Embarcadère
GIR,37762,44.992496,-0.447970,ST ANDRE C. - Eglise
GIR,37767,45.068900,-0.594836,COMPS - Mairie
GIR,37747,45.083200,-0.608818,ST CIERS DE C. - Bourg
GIR,37732,45.083170,-0.629262,VILLENEUVE - Bourg
GIR,37774,44.867325,-0.575648,Place Ravezies
GIR,37776,44.873997,-0.575656,Les Aubiers
GIR,37786,44.877186,-0.567595,BORDEAUX - Reinson
GIR,37775,44.888187,-0.517063,La Gardette - Bassens - Carbon-Blanc
GIR,37782,44.995210,-0.443568,ST ANDRE C. - Champ de Foire
GIR,37781,44.999226,-0.441774,ST ANDRE C. - La Pouyade
GIR,37792,45.003260,-0.438045,ST ANDRE C. - La Garosse
GIR,37773,45.009384,-0.439393,ST ANDRE C. - ZA Parc d'A. RD 137
GIR,37779,45.027210,-0.453462,ST GERVAIS - Cave Coopérative
GIR,37772,45.036100,-0.460614,ST LAURENT D'A. - Prantigarde
GIR,37788,45.042995,-0.466221,ST LAURENT D'A. - Grand Thibaud
